order_id,order_event_log_id,order_event_ts_utc,order_event_ts_utc8,order_stage,order_model,symbol,side_code,side_label,size,entry_price,strategy,order_success,linked_decision_log_id,linked_decision_stage,linked_decision_ts_utc,linked_decision_ts_utc8,linked_decision_model,linked_action,linked_reason,linked_selected_over_raw,linked_selected_over_corrected,match_type,time_delta_ms,order_event_status,order_event_attempts,source_table
716412085147271923,76e8d3cb-51f7-44d9-947a-ab53dbef74ae,2026-02-11T10:32:31.471Z,2026-02-11T18:32:31.471+08:00,Exit Execution,SDM:Straddle,cmt_ethusdt,SHORT,SHORT_SIDE,0.01,2013.44,,True,f0a7e1b9-6b8f-4638-b08a-d1cd5c2f1223,Exit Decision,2026-02-11T10:32:27.919Z,2026-02-11T18:32:27.919+08:00,SDM:Straddle,close_runner,,,,nearest_exit_decision_symbol,3552,done,1,ai_logs
716412113005839091,a7dde27c-2aa5-45e0-b164-818ea3bf05c8,2026-02-11T10:32:38.114Z,2026-02-11T18:32:38.114+08:00,Exit Execution,SDM:Straddle,cmt_adausdt,SHORT,SHORT_SIDE,440.0,0.2606,,True,f1647400-b8ee-444a-9d7d-9f789a467a10,Exit Decision,2026-02-11T10:32:37.426Z,2026-02-11T18:32:37.426+08:00,SDM:Straddle,close_runner,,,,nearest_exit_decision_symbol,688,done,1,ai_logs
716295669463122675,e4aebf60-17bf-440c-a47f-9690be19e2e2,2026-02-11T10:33:02.592Z,2026-02-11T18:33:02.592+08:00,Exit Decision,PositionMonitor,cmt_ethusdt,,UNKNOWN,0.01,2013.44,,,e4aebf60-17bf-440c-a47f-9690be19e2e2,Exit Decision,2026-02-11T10:33:02.592Z,2026-02-11T18:33:02.592+08:00,PositionMonitor,,,,,exact_order_id,0,done,1,ai_logs
716413530093388531,f6e29260-6961-4a2b-bb10-b7204009e981,2026-02-11T10:38:15.973Z,2026-02-11T18:38:15.973+08:00,Exit Execution,SDM:Straddle,cmt_bnbusdt,SHORT,SHORT_SIDE,0.1,598.62,,True,82b3fa09-e8b6-447b-8bfd-ce8338e4558e,Exit Decision,2026-02-11T10:38:15.248Z,2026-02-11T18:38:15.248+08:00,SDM:Straddle,close_short,,,,nearest_exit_decision_symbol,725,done,1,ai_logs
716437436921545459,bcb2a8cb-e920-4a3f-b3d1-2b1b97768d1a,2026-02-11T12:13:15.806Z,2026-02-11T20:13:15.806+08:00,Exit Execution,SDM:Straddle,cmt_solusdt,SHORT,SHORT_SIDE,2.3,83.46,,True,fce5c96d-5c06-4222-b396-90b87cc1e1c3,Exit Decision,2026-02-11T12:13:15.115Z,2026-02-11T20:13:15.115+08:00,SDM:Straddle,close_runner,,,,nearest_exit_decision_symbol,691,done,1,ai_logs
716437481892872947,fb4ca39c-3b29-41ac-88ed-b3f86b01dc5f,2026-02-11T12:13:26.530Z,2026-02-11T20:13:26.530+08:00,Exit Execution,SDM:Straddle,cmt_adausdt,SHORT,SHORT_SIDE,440.0,0.2606,,True,a8ee27a9-ee91-4906-a13c-82a36ca779e9,Exit Decision,2026-02-11T12:13:25.841Z,2026-02-11T20:13:25.841+08:00,SDM:Straddle,close_runner,,,,nearest_exit_decision_symbol,689,done,1,ai_logs
716438907671020275,0543903c-1e9a-4bad-b21a-0b7c1b6a5b64,2026-02-11T12:19:06.460Z,2026-02-11T20:19:06.460+08:00,Exit Execution,SDM:Straddle,cmt_bnbusdt,SHORT,SHORT_SIDE,0.1,598.62,,True,06e8add7-9154-43d0-801c-89e9cbbdc6a8,Exit Decision,2026-02-11T12:19:05.781Z,2026-02-11T20:19:05.781+08:00,SDM:Straddle,close_short,,,,nearest_exit_decision_symbol,679,done,1,ai_logs
716440376004575987,53476da5-85d4-4ef6-8a7c-904501519c19,2026-02-11T12:24:56.538Z,2026-02-11T20:24:56.538+08:00,Exit Execution,SDM:Straddle,cmt_xrpusdt,SHORT,SHORT_SIDE,60.0,1.3591,,True,d6eeec32-8df4-4248-86ce-0373fecdb1ff,Exit Decision,2026-02-11T12:24:55.855Z,2026-02-11T20:24:55.855+08:00,SDM:Straddle,close_short,,,,nearest_exit_decision_symbol,683,done,1,ai_logs
716441949749379827,1b7d2a97-6161-4015-8115-f89245134ba9,2026-02-11T12:31:11.748Z,2026-02-11T20:31:11.748+08:00,Exit Execution,SDM:Straddle,cmt_btcusdt,SHORT,SHORT_SIDE,0.001,66706.5,,True,1feb42a2-dd75-4b23-a88d-17f9a80b0962,Exit Decision,2026-02-11T12:31:11.039Z,2026-02-11T20:31:11.039+08:00,SDM:Straddle,close_short,,,,nearest_exit_decision_symbol,709,done,1,ai_logs
716465216736461555,1e38abce-456e-4508-ad3f-0b32b35478bb,2026-02-11T14:03:39.032Z,2026-02-11T22:03:39.032+08:00,Exit Execution,SDM:Straddle,cmt_ltcusdt,SHORT,SHORT_SIDE,35.1,52.23,,True,0bab726d-a182-4eab-a2ac-f822970bf302,Exit Decision,2026-02-11T14:03:38.348Z,2026-02-11T22:03:38.348+08:00,SDM:Straddle,close_short,,,,nearest_exit_decision_symbol,684,done,1,ai_logs
