order_id,symbol,side_label,side_code,order_event_ts_utc8,order_event_ts_utc,order_stage,order_model,size,entry_price,linked_decision_log_id,linked_decision_stage,linked_decision_ts_utc8,linked_decision_ts_utc,linked_action,linked_reason,linked_selected_over_corrected,match_type
717039025386423027,cmt_btcusdt,SHORT_SIDE,SHORT,2026-02-13T12:03:45.673+08:00,2026-02-13T04:03:45.673Z,Exit Execution,SDM:Straddle,0.001,66706.5,7b504417-d38c-49e6-b743-1c6bd2d7f6dd,Exit Decision,2026-02-13T12:03:44.996+08:00,2026-02-13T04:03:44.996Z,close_runner,,,nearest_exit_decision_symbol
717040082111955699,cmt_solusdt,SHORT_SIDE,SHORT,2026-02-13T12:07:57.617+08:00,2026-02-13T04:07:57.617Z,Exit Execution,SDM:Straddle,1.8,83.46,47b09814-02ea-4b24-9f49-6a48895b1a1f,Exit Decision,2026-02-13T12:07:54.022+08:00,2026-02-13T04:07:54.022Z,close_runner,,,nearest_exit_decision_symbol
717040132766565107,cmt_xrpusdt,SHORT_SIDE,SHORT,2026-02-13T12:08:09.694+08:00,2026-02-13T04:08:09.694Z,Exit Execution,SDM:Straddle,60.0,1.3591,3580f09e-e115-4b0e-85df-907a5846bec6,Exit Decision,2026-02-13T12:08:09.011+08:00,2026-02-13T04:08:09.011Z,close_runner,,,nearest_exit_decision_symbol
717040149615084275,cmt_bnbusdt,SHORT_SIDE,SHORT,2026-02-13T12:08:13.710+08:00,2026-02-13T04:08:13.710Z,Exit Execution,SDM:Straddle,0.1,598.62,b1e4a12b-e3f6-494e-a17b-0deca37ce44b,Exit Decision,2026-02-13T12:08:13.017+08:00,2026-02-13T04:08:13.017Z,close_runner,,,nearest_exit_decision_symbol
717040178316706547,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T12:08:20.552+08:00,2026-02-13T04:08:20.552Z,Exit Execution,SDM:Straddle,400.0,0.2606,564e17c7-fada-47bb-a444-912e5fa35893,Exit Decision,2026-02-13T12:08:16.999+08:00,2026-02-13T04:08:16.999Z,close_runner,,,nearest_exit_decision_symbol
717040211921470195,cmt_btcusdt,SHORT_SIDE,SHORT,2026-02-13T12:08:28.566+08:00,2026-02-13T04:08:28.566Z,Exit Execution,SDM:Straddle,0.001,66706.5,eee10e5b-a1be-493f-830e-360160b7efdd,Exit Decision,2026-02-13T12:08:27.882+08:00,2026-02-13T04:08:27.882Z,close_runner,,,nearest_exit_decision_symbol
717054775056663283,cmt_solusdt,SHORT_SIDE,SHORT,2026-02-13T13:06:20.687+08:00,2026-02-13T05:06:20.687Z,Exit Execution,SDM:Straddle,1.8,83.46,6810d2fa-8c8b-4b5d-90c0-655595c505e2,Exit Decision,2026-02-13T13:06:17.106+08:00,2026-02-13T05:06:17.106Z,close_runner,,,nearest_exit_decision_symbol
717054825371534067,cmt_xrpusdt,SHORT_SIDE,SHORT,2026-02-13T13:06:32.681+08:00,2026-02-13T05:06:32.681Z,Exit Execution,SDM:Straddle,60.0,1.3591,792501af-d2ac-4da0-93bd-e5d0a0aacaa0,Exit Decision,2026-02-13T13:06:32.008+08:00,2026-02-13T05:06:32.008Z,close_runner,,,nearest_exit_decision_symbol
717054842052281075,cmt_bnbusdt,SHORT_SIDE,SHORT,2026-02-13T13:06:36.660+08:00,2026-02-13T05:06:36.660Z,Exit Execution,SDM:Straddle,0.1,598.62,7f219565-6c1d-4d3a-99e3-d616792c7771,Exit Decision,2026-02-13T13:06:35.978+08:00,2026-02-13T05:06:35.978Z,close_runner,,,nearest_exit_decision_symbol
717054989830193907,cmt_solusdt,SHORT_SIDE,SHORT,2026-02-13T13:07:11.892+08:00,2026-02-13T05:07:11.892Z,Exit Execution,SDM:Straddle,1.8,83.46,a9df8d54-8e25-435f-9ff2-a01ed2f1ea26,Exit Decision,2026-02-13T13:07:08.287+08:00,2026-02-13T05:07:08.287Z,close_runner,,,nearest_exit_decision_symbol
