order_id,order_event_log_id,order_event_ts_utc,order_event_ts_utc8,order_stage,order_model,symbol,side_code,side_label,size,entry_price,strategy,order_success,linked_decision_log_id,linked_decision_stage,linked_decision_ts_utc,linked_decision_ts_utc8,linked_decision_model,linked_action,linked_reason,linked_selected_over_raw,linked_selected_over_corrected,match_type,time_delta_ms,order_event_status,order_event_attempts,source_table
720693750489154291,34e5ff2e-b2a3-4094-aace-a508da58063b,2026-02-23T06:06:20.038Z,2026-02-23T14:06:20.038+08:00,Order Execution,BreakoutStraddle,cmt_btcusdt,1,OPEN_LONG,0.03157268325974692,,breakout_straddle,True,f9595b69-322e-4efd-820d-0841996624c3,Decision Making,2026-02-23T06:06:27.361Z,2026-02-23T14:06:27.361+08:00,AlphaGenesis-SDM-v1,HOLD,STRADDLE_BLOCKED,,NO_TRADE,nearest_decision_symbol_bidirectional,-7323,done,1,ai_logs
720693753345475315,ec92102a-42ba-494e-977f-fe90b9ef047b,2026-02-23T06:06:20.721Z,2026-02-23T14:06:20.721+08:00,Order Execution,BreakoutStraddle,cmt_btcusdt,2,OPEN_SHORT,0.03157268325974692,,breakout_straddle,True,f9595b69-322e-4efd-820d-0841996624c3,Decision Making,2026-02-23T06:06:27.361Z,2026-02-23T14:06:27.361+08:00,AlphaGenesis-SDM-v1,HOLD,STRADDLE_BLOCKED,,NO_TRADE,nearest_decision_symbol_bidirectional,-6640,done,1,ai_logs
720701883097809651,4010dfe2-dd6c-4ab0-a70c-03e956031a80,2026-02-23T06:38:39.003Z,2026-02-23T14:38:39.003+08:00,Order Execution,BreakoutStraddle,cmt_btcusdt,3,CLOSE_LONG,0.03157268325974692,,breakout_straddle,True,abc4ce39-9ef4-4102-b88f-eefcc16cef0b,Exit Decision,2026-02-23T06:38:38.333Z,2026-02-23T14:38:38.333+08:00,SDM:Straddle,close_hedge,,,,nearest_exit_decision_symbol,670,done,1,ai_logs
720701883097809651,e170d68a-59dd-425a-86d9-35a7dfb8b8aa,2026-02-23T06:38:39.009Z,2026-02-23T14:38:39.009+08:00,Exit Execution,SDM:Straddle,cmt_btcusdt,LONG,LONG_SIDE,0.03157268325974692,65095.8,,True,abc4ce39-9ef4-4102-b88f-eefcc16cef0b,Exit Decision,2026-02-23T06:38:38.333Z,2026-02-23T14:38:38.333+08:00,SDM:Straddle,close_hedge,,,,nearest_exit_decision_symbol,676,done,1,ai_logs
720701885958324979,aa48dd1d-7c00-4de8-8a57-33f0c59e3f05,2026-02-23T06:38:39.684Z,2026-02-23T14:38:39.684+08:00,Order Execution,BreakoutStraddle,cmt_btcusdt,4,CLOSE_SHORT,0.03157268325974692,,breakout_straddle,True,abc4ce39-9ef4-4102-b88f-eefcc16cef0b,Exit Decision,2026-02-23T06:38:38.333Z,2026-02-23T14:38:38.333+08:00,SDM:Straddle,close_hedge,,,,nearest_exit_decision_symbol,1351,done,1,ai_logs
720701885958324979,3a2e10a5-378d-478f-9797-06579022bb94,2026-02-23T06:38:39.690Z,2026-02-23T14:38:39.690+08:00,Exit Execution,SDM:Straddle,cmt_btcusdt,SHORT,SHORT_SIDE,0.03157268325974692,65095.8,,True,abc4ce39-9ef4-4102-b88f-eefcc16cef0b,Exit Decision,2026-02-23T06:38:38.333Z,2026-02-23T14:38:38.333+08:00,SDM:Straddle,close_hedge,,,,nearest_exit_decision_symbol,1357,done,1,ai_logs
720706279638565619,2e570cfc-4406-45f7-b170-1a2b848dc5f0,2026-02-23T06:56:07.221Z,2026-02-23T14:56:07.221+08:00,Order Execution,SDM:momentum,cmt_btcusdt,2,OPEN_SHORT,0.001,65734.8,,True,1be07353-0d05-49bf-88a7-a258793708d9,Decision Making,2026-02-23T06:56:06.546Z,2026-02-23T14:56:06.546+08:00,AlphaGenesis-SDM-v1,SHORT,,HOLD,SHORT,nearest_decision_symbol,675,done,1,ai_logs
